,title,text,tokens
0,사용 설명서,사용 설명서 컬러 잉크젯 프린터 SL-J292xW Series 목 차 사용 설명서 ● 안전을 위한 주의 사항은 사용자의 안전을 지키고 재산상의 손해 등을 막기 위한 내용입니다.  반드시 읽고 올바르게 사용해 주세요. ● 본 제품은 국내용 입니다. 전원과 전압이 다른 국외에서는 사용할 수 없습니다.  ,134
1,저작권,"2  저작권 저작권 ©2016 삼성전자(주)가 모든 권한을 소유합니다. 이 사용 설명서와 제품은 저작권법에 의해 보호됩니다. 이 사용 설명서는 사전 서면 동의 없이 사용 설명서 및 제품의 일부 또는 전체를 복사나 복제, 번역 또는 전자 매체나 기계가 읽을 수 있는 형태로 바꿀 수 없습니다.  이 사용 설명서와 제품은 표기상의 잘못이나 기술적인 잘못이 있을 수 있으며 사전 통보 없이 이러한 내용이 변경될 수 있습니다. 삼성전자(주)는 본 사용 설명서 사용으로 인해 발생하는 직/간접적 손해에 대해 책임지지 않습니다. • 삼성 및 SAMSUNG 로고는 삼성전자(주)의 상표입니다. • Microsoft 및 Windows는 Microsoft Corporation의 등록 상표 또는 상표입니다. • Microsoft, Internet Explorer, Excel, Word, PowerPoint, 및 Outlook은 Microsoft Corporation의 등록 상표 또는 상표입니다. • Mac, Mac OS X  AirPrint는 미국 및 기타 국가에서 Apple Inc.의 상표입니다. • 기타 모든 상표 또는 제품 이름은 해당하는 회사 또는 조직의 상표입니다. • ©2016 Copyright HPDC. REV. 1.00 ",427
2,저작권,['3 목차 1. 제품 알아보기 사용 설명서 정보  6 안전을 위한 경고 및 주의사항  7 제품 모습  12 조작부 사용  14 전원 연결하기  15 소프트웨어 설치  16 소프트웨어 재설치  17 제품 설정  18 2. 용지 및 용지함 인쇄 용지 관련 정보  20 용지 넣기  22 3. 인쇄 인쇄하기  28 인쇄 환경 설정  29 4. Samsung Photo and Imaging Gallery  프로그램 이해하기 Samsung Photo and Imaging Gallery 프로그램 32 Samsung Photo and Imaging Gallery 실행하기 33 Samsung Photo and Imaging Gallery 사용하기 35 5. 모바일 장치에서 사용 Samsung Mobile Print  37 6. 카트리지 및 유지보수 잉크 카트리지 및 프린트 헤드에 대한 정보 39 예상 잉크량 확인  40 잉크 카트리지 주문  41 잉크 카트리지 교체  42 청소하기  44 7. 네트워크 설정 무선 네트워크 프린터 설정  49 네트워크 설정 변경  53 Wi-Fi Direct 사용  54 '],366
3,저작권,['4 목차 8. 프린터 관리 도구 프린터 길잡이  58 EWS(내장 웹 서버)  59 9. 문제 해결 용지 걸림을 예방할 수 있는 정보  63 용지 걸림 제거  64 잉크 캐리지 걸림 해결  68 인쇄 문제  69 인쇄 품질 문제  70 네트워크 문제  71 상태 표시등(LED) 이해하기  72 기타 문제 해결  76 10. 부록 사양  78 규제 정보  79 11. 서비스 및 기타 프린터 서비스 안내  82 서비스에 대하여  83 한국 A/S 우수 기업 마크  85 폐 가전제품 처리 안내  86 전자파 적합 등록 및 화폐위조  87 '],266
4,1. 제품 알아보기,1. 제품 알아보기 이 장에서는 제품을 사용하기 전에 알아야 할 정보를 제공합니다. • 사용 설명서 정보 6 • 안전을 위한 경고 및 주의사항 7 • 제품 모습 12 • 조작부 사용 14 • 전원 연결하기 15 • 소프트웨어 설치 16 • 소프트웨어 재설치 17 • 제품 설정 18 ,135
5,사용 설명서 정보,6 1. 제품 알아보기 사용 설명서 정보 이 사용 설명서는 실제 사용하는 방법을 단계적으로 자세하게 설명뿐만  아니라 제품의 기본적인 정보도 함께 제공합니다. • 이 설명서는 버리지 마시고 보관하신 후 필요할 때 참조하세요. • 제품을 사용하기 전에 안전을 위한 주의사항을 먼저 읽어보세요. • 제품 사용 시 문제가 발생하면 문제 해결 편을 확인하세요. • 사용 설명서의 그림은 제품의 옵션이나 모델에 따라 실제 제품과 다 를 수 있습니다. • 사용 설명서에 제시된 스크린샷은 제품의 펌웨어/드라이버 버전에 따 라 실제와 다를 수 있습니다. • 소프트웨어는 Windows만 지원합니다. 1  표기법 본 설명서에서 사용하는 일부 용어는 아래와 같이 혼용될 수 있습니다. • 원고는 원본과 같은 뜻입니다. • 종이는 용지 또는 인쇄 용지와 같은 뜻입니다. • 제품 및 프린터는 잉크젯 프린터 또는 잉크젯 복합기를 의미합니다. 2  본문 표기 아이콘 아이콘 문자 설명 주의 제품의 기계적 손상이나 오작동을 방지하기 위한 정보를 제공합니다. 경고 신체적 상해의 가능성을 경고합니다.  참고 제품의 기능과 성능에 대한 추가 정보를 제공합니 다. ,492
6,안전을 위한 경고 및 주의사항,"7 1. 제품 알아보기 안전을 위한 경고 및 주의사항 사용자의 안전을 지키고 재산상의 손해를 막기 위한 내용입니다. 반드시  잘 읽고 제품을 올바르게 사용해 주세요.   아래의 경고 사항은 지키지 않으면 사용자가 사망하거나 중상을 입을  수 있습니다.   3  중요한 안전 아이콘 사용 설명서에서 사용되는 아이콘과 기호에 대한 설명 4  전원 경고 경고 심각한 신체적 상해나 사망을 초래할 수 있는  위험 또는 안전하지 않은 작업 주의 가벼운 신체적 상해나 재산 상의 손상을 초래할  수 있는 위험 또는 안전하지 않은 작업 시도하지 마세요. 손상된 전원 코드나 플러그, 헐거운 콘센트 를 사용하지 마세요. ▶ 감전, 화재의 위험이 있습니다. 전원 코드를 무리하게 구부리거나 무거운 물 건으로 눌러 망가지지 않도록 하세요. ▶ 감전, 화재의 위험이 있습니다. ",371
7,안전을 위한 경고 및 주의사항,"['안전을 위한 경고 및 주의사항 8 1. 제품 알아보기 5  설치  경고 천둥, 번개가 치거나 오랜 시간 사용하지 않 을 때는 전원 플러그를 뽑으세요. ▶ 감전, 화재의 위험이 있습니다. 전원 플러그는 코드 부분을 잡아당겨  뽑거나  젖은 손으로 만지지 마세요. ▶ 감전, 화재의 위험이 있습니다. 제품 내부를 청소하기 전에 벽면 콘센트에 서 제품을 분리하세요. 제품에 물을 직접 뿌 리거나 제품을 벤젠, 시너, 알코올 등으로  닦지 마세요. ▶ 감전, 화재의 위험이 있습니다. 제품 위에 촛불, 담뱃불 등을 올려놓거나 제 품을 열기구와 가까운 곳에 설치하지 마세 요. ▶ 화재의 위험이 있습니다. ']",330
8,안전을 위한 경고 및 주의사항,"['안전을 위한 경고 및 주의사항 9 1. 제품 알아보기 6  청소 경고 7  기타 경고 제품  내부를  청소하기 전에  벽면  콘센트에서  제품을 분리하세요. 제품에 물을 직접 뿌리 거나 제품을 벤젠, 시너, 알코올 등으로 닦 지 마세요. ▶ 감전, 화재의 위험이 있습니다. 반드시  부드러운 천에 물을 묻혀서 닦으세요. ▶ 청소할 때는 알코올 혹은 솔벤트가 다량  함유 되거나 일부 강한 성분이 함유된 계면  활성제를 사용하지 마세요. 제품이 변색되 거나 갈라질 수 있습니다. 유아나 어린이가  청소 용품을 만지지 않도록 주의하세요. 전원 플러그의 핀과 접촉 부분에 먼지, 물  등이 묻어 있으면 잘 닦으세요. ▶ 감전, 화재의 위험이 있습니다. 제품 위에 물이 담긴 그릇이나 약품, 작은 금 속류 등을 올려놓지 마세요. ▶ 감전, 화재의 위험이 있습니다. 제품에서 이상한 소리나 냄새, 연기가 나면  즉시 전원 플러그를 뽑고 전문 서비스 센터 로 연락하세요. ▶ 감전, 화재의 위험이 있습니다. ']",494
9,안전을 위한 경고 및 주의사항,['안전을 위한 경고 및 주의사항 10 1. 제품 알아보기 8  설치  주의 잉크 카트리지를 분해하지 마세요. • 플러그가 콘센트에 제대로 꽂혀지지 않으면 반드시 전기 기술자를 불러  콘센트를 교체하세요. 그렇지 않으면 감전의 위험이 있습니다. • 제품 라벨에 표시되어 있는 전원에 연결하세요. • 전원 코드 위에는 아무것도 올려놓지 마세요. 코드가 사람에게 밟히거나  사람이 코드에 걸릴 수 있는 곳에는 제품을 설치하지 마세요. • 전원 차단 장치는 전원 코드입니다. 모든 전원 공급을 차단하려면 콘센 트에서 전원 코드를 뽑으세요. 불안정한 곳에 제품을 설치하지 마세요. ▶ 제품이 떨어져 망가지거나 제품에 맞아  사람이 다칠 수 있습니다. '],340
